"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2462","createSkillAndVerifyInSame","All Test Suite","Fri Jul 04 19:35:28 GMT 2025","passed","Fri Jul 04 19:35:31 GMT 2025","testScript.VerifyWidgetsTest","/home/dell/Documents/Learning/APIs/Doc/MAY25_HRM_API_22June/MAY25_HRM_API/src/test/java/testScript/VerifyWidgetsTest.java","testScript.VerifyWidgetsTest","createSkillAndVerifyInSame"
"","1354","verifyWidgets","All Test Suite","Fri Jul 04 19:35:18 GMT 2025","passed","Fri Jul 04 19:35:20 GMT 2025","testScript.VerifyWidgetsTest","/home/dell/Documents/Learning/APIs/Doc/MAY25_HRM_API_22June/MAY25_HRM_API/src/test/java/testScript/VerifyWidgetsTest.java","testScript.VerifyWidgetsTest","verifyWidgets"
"","2746","createEmployeeTest","All Test Suite","Fri Jul 04 19:35:12 GMT 2025","passed","Fri Jul 04 19:35:15 GMT 2025","testScript.EmployeeCRUDTest","/home/dell/Documents/Learning/APIs/Doc/MAY25_HRM_API_22June/MAY25_HRM_API/src/test/java/testScript/EmployeeCRUDTest.java","testScript.EmployeeCRUDTest","createEmployeeTest"
"","1198","verifySkillASCOrder","All Test Suite","Fri Jul 04 19:35:23 GMT 2025","passed","Fri Jul 04 19:35:25 GMT 2025","testScript.VerifyWidgetsTest","/home/dell/Documents/Learning/APIs/Doc/MAY25_HRM_API_22June/MAY25_HRM_API/src/test/java/testScript/VerifyWidgetsTest.java","testScript.VerifyWidgetsTest","verifySkillASCOrder"
